NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
RENATA RAQUEL CORTEZ DE LIMA;RENATA RAQUEL CORTEZ DE LIMA;1521;AVENIDA MANUEL MURTINHO;CENTRO;ANASTACIO;MS;NCT de Aquidauana;FISIOTERAPIA;;
RESGATARE REMOCOES E EVENTOS LTDA;RESGATARE;391;ALMIRANTE TAMANDARE;CENTRO;RIO VERDE DE MATO GROSSO;MS;NCT de Coxim;REMOCOES;;
RESPIRAR PNEUMOLOGIA SERVICOS MEDICOS LTDA;;1900;AVENIDA BRAZ OLAIA ACOSTA;NOVA ALIANÇA;RIBEIRAO PRETO;SP;Ribeirão Preto;PNEUMOLOGIA;;
RESSONARE CLINICA MULTIPROFISSIONAL LTDA;RESSONARE CLINICA MULTIPROFISSIONAL;58;RUA TREZE DE FEVEREIRO;VILA ROSÁRIO;ARAGUAINA;TO;Região de Saúde Médio Norte;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
REUMATO LAVRAS LTDA;REUMATO LAVRAS;790;RUA MISSENO DE PÁDUA;CENTRO;LAVRAS;MG;Varginha;REUMATOLOGIA  / GASTROENTEROLOGIA  / PNEUMOLOGIA  / COLOPROCTOLOGIA;;
REUMATOCLIN;REUMATOCLIN;111;RUA DOUTOR MILTON BANDEIRA;VEREDA DO BOSQUE;VICOSA;MG;Ponte Nova;REUMATOLOGIA;38918311;
REY SERVICOS MEDICOS S S;UROCENTER;197;RUA DOUTOR NEREU RAMOS;CENTRO;ITAJAI;SC;Itajaí;UROLOGIA;30460812;
RIO TRAUMA SERVICOS MEDICOS LTDA;RIO TRAUMA;219;RUA FIGUEIREDO MAGALHÃES;COPACABANA;RIO DE JANEIRO;RJ;Metropolitana I;ORTOPEDIA E TRAUMATOLOGIA;22571441;22573978
RIOS E ASSOCIADOS LTDA;;476;RUA DAS AZALÉIAS;GLEBA PATRIMÔNIO MARINGÁ;MARINGA;PR;Maringá;MASTOLOGIA  / CIRURGIA VASCULAR;;
ROBERTA VARELA BARBOSA;ROBERTA VARELA BARBOSA;607;RUA COLETOR IRINEU COMELLI;CENTRO;SAO JOSE;SC;Grande Florianópolis;FISIOTERAPIA;;
ROCHA SAUDE INTEGRADA LTDA;ALIANCA PRIME CLINICA DE SAUDE INTEGRADA;52;AVENIDA PEDRO PAES DE AZEVEDO;SALGADO FILHO;ARACAJU;SE;Região Aracaju;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;
RODRIGO GOUVEA HILL;;445;RUA DOUTOR ANTÔNIO CAVALCANTI SOBRAL;CENTRO;CATAGUASES;MG;Leopoldina;DERMATOLOGIA;;
ROSEANNE ACOSTA MOURA;RECRIAR CLINICA MULTIDISCIPLINAR;8;RUA RIO IÇA;NOSSA SENHORA DAS GRAÇAS;MANAUS;AM;Entorno de Manaus;FONOAUDIOLOGIA  / PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA;;
ROSEANNE RODRIGUES MARTINS MAGALHAES;;2340;AVENIDA PONTES VIEIRA;DIONISIO TORRES;FORTALEZA;CE;Fortaleza;INFECTOLOGIA;;
RRJE BARROS SERVICOS MEDICOS S S;GRUPO BARROS;316;AVENIDA WASHINGTON LUÍS;GONZAGA;SANTOS;SP;Baixada Santista;CIRURGIA GERAL  / CIRURGIA TORACICA;33011097;
RRPSIQUE LTDA;RRPSIQUE;3725;BRASIL;CENTRO;PONTA PORA;MS;NCT de Ponta Porã;PSICOLOGIA;;
RSM PSICOLOGIA LTDA;RSM PSICOLOGIA;251;DR MELLO VIANNA;CENTRO;SAO LOURENCO;MG;Varginha;PSICOLOGIA;;
RUBEM COUTO;RUBEM COUTO;8000;AVENIDA MIGUEL SUTIL;JARDIM MARIANA;CUIABA;MT;Baixada Cuiabana;MÉDICO PERITO / PEDIATRIA;36261777;
RVS ALERGIA E IMUNOLOGIA LTDA;RVS ALERGIA E IMUNOLOGIA;1846;RUA PADRE ANCHIETA;BIGORRILHO;CURITIBA;PR;Metropolitana;PNEUMOLOGIA  / ALERGIA E IMUNOLOGIA;33985532;
S A HAMDALLA PATUSSI FONOAUDIOLOGIA LTDA;AUDICLINIC FONOAUDIOLOGIA;216;RUA MARIA DA GLORIA;VILA SANTA HELENA;PRESIDENTE PRUDENTE;SP;Presidente Prudente;FONOAUDIOLOGIA;;
S D NUTRICAO LTDA;SAMANTA DOURADO;2411;RUA DOS DESBRAVADORES;BELA VISTA;SORRISO;MT;Sinop;NUTRICAO;;
SABRINA GOLDBERG;SABRINA GOLDBERG;6;PRAÇA PREFEITO ALCINDO SODRÉ;CENTRO;PETROPOLIS;RJ;Serrana;PSICOLOGIA;;
SAFATLES SERVICOS DE SAUDE LTDA;NEURODERMAFONO;63;RUA NILO MARGON VAZ;PIO GOMES;CATALAO;GO;Estrada de Ferro;NEUROCIRURGIA  / GINECOLOGIA E OBSTETRICIA;34414439;
SAGESSE SERVICOS MEDICOS ESPECIALIZADOS LTDA;SAGESSE MEDICINA ESPECIALIZADA;8375;AVENIDA VILLE ROY;SÃO VICENTE;BOA VISTA;RR;Secretaria Estadual de Saúde;UROLOGIA;;
SAKUGAWA SERVICOS MEDICOS LTDA;AMIETA CLINICA;906;RUA VINTE E QUATRO DE MAIO;RIO BRANCO;CACHOEIRA DO SUL;RS;CRS 08 Cachoeira do Sul;CIRURGIA GERAL  / CIRURGIA VASCULAR;;
SALLUTE CENTRO MEDICO LTDA;SALLUTE CENTRO MEDICO;351;AV GETULIO VARGAS;CENTRO;BALNEARIO PICARRAS;SC;Grande Florianópolis;ORTOPEDIA E TRAUMATOLOGIA  / ACUPUNTURA  / NEUROLOGIA  / PSIQUIATRIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL  / CLÍNICA MÉDICA / CARDIOLOGIA  / PSICOLOGIA  / NUTRICAO;31702055;
SALUTAR SERVICOS EM MEDICINA RESPIRATORIA LTDA.;;811;RUA PARAIBUNA;JARDIM SÃO DIMAS;SAO JOSE DOS CAMPOS;SP;Taubaté;OTORRINOLARINGOLOGIA  / CLÍNICA MÉDICA / PNEUMOLOGIA  / NUTROLOGIA / GERIATRIA   / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CARDIOLOGIA  / FISIOTERAPIA;33464633;
SAMA SOCIEDADE DE ARRITMIA DO MARANHAO LTDA - ME;SAMA;616;AV JERÔNIMO DE ALBUQUERQUE 25 COND PATIO JARDINS E;COHAFUMA;SAO LUIS;MA;Ilha do Maranhão;CARDIOLOGIA  / CIRURGIA CARDIOVASCULAR;33033486;
SANTA CASA DA SAUDE DE CAETITE LTDA;SANTA CASA DA SAUDE;1035;PREFEITO DACIO OLIVEIRA;CENTRO;CAETITE;BA;Caetité;OFTALMOLOGIA  / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA  / COLOPROCTOLOGIA / NEUROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / CARDIOLOGIA;;
SANTA CRUZ SERVICOS MEDICOS LTDA;SANTA CRUZ SERVICOS MEDICOS;2395;RUA OLINDA PIRES DE ALMEIDA;PARQUE DOS IPES;DOURADOS;MS;NCT de Dourados;CARDIOLOGIA;;
SANTIN E VALIATI INSTITUTO DE SAUDE LTDA;GERANIUM INSTITUTO DE SAUDE;1774;AVENIDA RIO GRANDE DO SUL;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;ENDOCRINOLOGIA E METABOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PEDIATRIA  / NUTRICAO / TERAPIA OCUPACIONAL / GINECOLOGIA E OBSTETRICIA  / FISIOTERAPIA / CLÍNICA MÉDICA / PSICOLOGIA;;
SANTOS E PAQUIELA CLINICA MEDICA LTDA;AME CENTRO DE DESENVOLVIMENTO HUMANO;0;QUADRA TREZE;NOVA MARABÁ;MARABA;PA;Itacaiúnas Tocantins;PSICOLOGIA  / NEUROLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
SANTOS FURTAT SERVICOS MEDICOS LTDA - EPP;CLINICA VASCULAR DR LUIZ CARLOS FURTAT JR;8000;AV. MIGUEL SUTIL;JARDIM MARIANA;CUIABA;MT;Baixada Cuiabana;ANGIOLOGIA E CIRURGIA VASCULAR   / CIRURGIA VASCULAR / ANGIOLOGIA;30542325;
SAO PIETRO SERVICOS DE SAUDE LTDA;SAO PIETRO SERVICOS DE SAUDE LTDA;4851;GETULIO VARGAS;MARECHAL RONDON;CANOAS;RS;CRS 01 Porto Alegre;UROLOGIA  / OFTALMOLOGIA;31354444;30183158
SAORT SERVICO ANDRADINENSE DE ORTOPEDIA E TRAUMATOLOGIA LTDA;ORTHOS;1781;MARIO CORREA;ALTO SAN RAPHAEL;MARACAJU;MS;NCT de Campo Grande;ORTOPEDIA E TRAUMATOLOGIA;;
SAPERE CENTRO DE DESENVOLVIMENTO INFANTOJUVENIL;SAPERE;8;RUA COMETA HALLEY;ALEIXO;MANAUS;AM;Entorno de Manaus;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
SAUDE MAIS CLINICA MEDICA E ODONTOLOGICA;SAUDE MAIS UNIDADE DE ATENDIMENTO;2040;RUA ONOFRE PEREIRA DE MATOS;CENTRO;DOURADOS;MS;NCT de Dourados;CLÍNICA MÉDICA / CARDIOLOGIA;30214145;
SAUDE MAIS LTDA;SAUDE MAIS;50;RUA KELVIN;GUARANI;COLOMBO;PR;Metropolitana;PEDIATRIA  / DERMATOLOGIA   / CLÍNICA MÉDICA / UROLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / GINECOLOGIA E OBSTETRICIA  / NUTRICAO / GENETICA MÉDICA;35620455;
SAUDE PLENA CLINICA INTEGRADA S S;SAUDE PLENA;616;FLORIANO PEIXOTO;BOM RETIRO;BLUMENAU;SC;Blumenau;PEDIATRIA  / MEDICINA NUCLEAR;33225533;
SAUDE SANTOS CLINICA MEDICA LTDA;SAUDE SANTOS CLINICA MEDICA LTDA;470;RUA PAULO CÉSAR PACHECO;SÃO JOSÉ;FRANCA;SP;Franca;NEUROLOGIA  / CARDIOLOGIA  / NEFROLOGIA  / CLÍNICA MÉDICA / INFECTOLOGIA;39391799;
SAUDE VITAL CENTRO CLINICO LTDA ME;SAUDE VITAL CENTRO CLINICO LTDA;472;RUA CORONEL AFONSO PARANHOS;SETOR CENTRAL;CATALAO;GO;Estrada de Ferro;NUTRICAO / PSICOLOGIA  / ACUPUNTURA;34117025;
SBRUZZI GANNAM SERVICOS MEDICOS LTDA;CLINICA DELUZ;39;RUA EQUADOR;VILA PINTO;VARGINHA;MG;Varginha;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
SEAMME SERVICOS ESPECIALIZADOS EM ATENDIMENTO MEDICO E MULTIESPECIALID;SEAMME;251;AVENIDA REPÚBLICA DO LÍBANO;PINA;RECIFE;PE;Recife;PEDIATRIA  / PSICOLOGIA  / NUTRICAO / GERIATRIA;;
SEMEAR CLINICA DE DESENVOLVIMENTO INFANTIL LTDA;SEMEAR NEURODESENVOLVIMENTO;182;RUA PROFESSOR PIO PEDRINHA;CENTRO;LINHARES;ES;SR Colatina;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO / FONOAUDIOLOGIA;;
SEMEDI SERVICOS MEDICOS E DIAGNOSTICOS;SEMEDI SERVIÇOS MEDICOS E DIAGNOSTICOS;15;RUA RAUL FORCHERO CASASCO;VILLAGE REGINA;PENAPOLIS;SP;Araçatuba;RADIODIAGNÓSTICO / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ORTOPEDIA E TRAUMATOLOGIA;36520618;
SEMPRE SAUDE E TECNOLOGIA LTDA;SEMPRE SAUDE;0;RUA C-211;JARDIM AMÉRICA;GOIANIA;GO;Central;FONOAUDIOLOGIA  / PSICOLOGIA  / ENFERMAGEM  / FISIOTERAPIA / NUTRICAO / REMOCOES  / TERAPIA OCUPACIONAL / CLÍNICA MÉDICA;39964796;
SENEURO - SERVICO DE COLUNA E NEUROCIRURGIA LTDA;SENEURO;351;RUA NOSSA SENHORA DE FÁTIMA;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;NEUROCIRURGIA  / PSIQUIATRIA  / ORTOPEDIA E TRAUMATOLOGIA;;
SENSE KIDS EVOLUTION LTDA;SENSE KIDS;1476;TRAVESSA DOM ROMUALDO DE SEIXAS;UMARIZAL;BELEM;PA;Metropolitana;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
SERENUS GESTAO E SAUDE LTDA;SERENUS GESTAO E SAUDE;1105;RUA JOÃO ROSA GÓES;JARDIM AMÉRICA;DOURADOS;MS;NCT de Dourados;PEDIATRIA  / OTORRINOLARINGOLOGIA  / MÉDICO GENERALISTA / GINECOLOGIA E OBSTETRICIA;;
SERVICO DE CARDIOLOGIA SAO JERONIMO LTDA;SERVICO DE CARDIOLOGIA SAO JERONIMO;48;LUIZ JUSTINO MILLER;BELA VISTA;SAO JERONIMO;RS;CRS 02 Porto Alegre;CARDIOLOGIA;36513499;
SERVICO DE HEMATOLOGIA DE SAO JOSE DOS CAMPOS;HEMACORE CENTRO DE HEMATOLOGIA;398;DOUTOR POMPILIO MERCADANTE;CENTRO;JACAREI;SP;Taubaté;PEDIATRIA  / HEMATOLOGIA E HEMOTERAPIA / CLÍNICA MÉDICA;35193290;
SERVICO SOCIAL DA INDUSTRIA SESI;SERVICO SOCIAL DA INDUSTRIA SESI;186;AVENIDA RIO BRANCO;SÃO PELEGRINO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;NUTRICAO / PSICOLOGIA;33478787;
SERVICO SOCIAL DA INDUSTRIA SESI;SESI ESPACO SAUDE;1585;KONRAD ADENAUER;ERICA;PANAMBI;RS;CRS 17 Ijuí;PSICOLOGIA  / NUTRICAO;33755120;
SHEILA REGINA RODRIGUES DE OLIVEIRA ME;FISIOCLINICA;563;RUA MARIA HELENA;WILLIAMS;GARCA;SP;Marília;FISIOTERAPIA;;
SHINZATO E MUKARZEL LTDA;CLAUDIO GUENSEI SHINZATO;464;RUA GENERAL ODORICO QUADROS;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;OFTALMOLOGIA;33215139;
SIG CLINICA PSICANALITICA LTDA;;564;RUA SANTA CRUZ;CENTRO;VARGINHA;MG;Varginha;PSICOLOGIA;;
SILVESTRE SERVICOS DE SAUDE LTDA;CLINICA SILVESTRE;777;RUA SETE DE SETEMBRO;CENTRO;BLUMENAU;SC;Blumenau;CIRURGIA GERAL  / CIRURGIA ONCOLÓGICA;;
SILVIA AMORIM AZEVEDO COSTA;SILVIA AMORIM AZEVEDO COSTA;19;ALAMEDA DAS ROSAS 2175 QD R2B;SETOR OESTE;GOIANIA;GO;Central;CLÍNICA MÉDICA / UROLOGIA;40087800;32199000
SIMPLEX TERAPIAS INTEGRADAS;SIMPLEX TERAPIAS INTEGRADAS LTDA;63;RUA CARVALHO DE ARAÚJO;RAUL VEIGA;SAO GONCALO;RJ;Metropolitana II;NUTRICAO / TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;
SIMPLIMED CONSULTAS SERVICOS MEDICOS LTDA;SIMPLIMED CONSULTAS;2380;RUA PINHEIRO MACHADO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;OFTALMOLOGIA  / PEDIATRIA  / CIRURGIA GERAL  / UROLOGIA;;
SINAPSE SONO LTDA;SINAPSE SONO;800;RUA FRANCISCO HOLANDA;DIONISIO TORRES;FORTALEZA;CE;Fortaleza;PNEUMOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA;;
SKOPEO MEDICINA E DIAGNOSTICO LTDA;SKOPEO MEDICINA E DIAGNOSTICO LTDA;333;RUA CORONEL BENJAMIN VIEIRA;CENTRO;CAMBORIU;SC;Balneário Camboriú;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
SLAVIERO CLINICA MENTE BRILHANTE LTDA;CLINICA MENTE BRILHANTE;3366;RUA CARLOS DE CARVALHO;CENTRO;CASCAVEL;PR;Cascavel;PSIQUIATRIA;;
SM CLINICA MEDICA E SAUDE OCUPACIONAL LTDA;SAO MATHEUS CLINICA MEDICA E SAUDE OCUPACIONAL;28;AVENIDA LUIZ GONZAGA;QUARENTA E SEIS;CAMACARI;BA;Salvador;;30402525;
SOCIEDADE BENEFICENTE DE SENHORAS - HOSPITAL SIRIO LIBANES;UNIDADE BRASILIA IV;0;ST SGAS 613;ASA SUL;BRASILIA;DF;Distrito Federal;NEUROLOGIA  / MASTOLOGIA  / MEDICINA FISICA E REABILITACAO  / ANGIOLOGIA / CIRURGIA DA MÃO / NEUROCIRURGIA  / CLÍNICA MÉDICA / PEDIATRIA  / DERMATOLOGIA   / INFECTOLOGIA  / CIRURGIA GERAL  / UROLOGIA  / PATOLOGIA / CIRURGIA PLÁSTICA / ENDOCRINOLOGIA E METABOLOGIA / ONCOLOGIA CLÍNICA / CIRURGIA PEDIATRICA  / CIRURGIA TORACICA  / GERIATRIA   / CIRURGIA VASCULAR / REUMATOLOGIA  / ANESTESIOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / RADIOTERAPIA  / ORTOPEDIA E TRAUMATOLOGIA  / PNEUMOLOGIA  / OFTALMOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GINECOLOGIA E OBSTETRICIA  / PSIQUIATRIA  / NEFROLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / MEDICINA NUCLEAR  / GASTROENTEROLOGIA  / CARDIOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / ALERGIA E IMUNOLOGIA  / CIRURGIA CARDIOVASCULAR  / MEDICINA INTENSIVA / ENDOSCOPIA / CIRURGIA ONCOLÓGICA / COLOPROCTOLOGIA;30448890;
SOFT-SERVICO OFTALMOLOGICA DE FEIRA DE SANTANA;VIVER OFTALMOLOGIA ESPECIALIZADA;744;AVENIDA GETÚLIO VARGAS;CENTRO;FEIRA DE SANTANA;BA;Feira de Santana;OFTALMOLOGIA;36231719;
SOLANGE P F DALTRO EIRELI;CLINICA EQUILIBRIO;138;AVENIDA MANOEL NOVAES;CENTRO;JACOBINA;BA;Jacobina;ORTOPEDIA E TRAUMATOLOGIA  / PEDIATRIA  / FISIOTERAPIA / CLÍNICA MÉDICA / PSICOLOGIA  / NUTRICAO;36215073;
SOLB SERVICO DE ORTOPEDIA LUIZ BRAGA LTDA;SOLB SERVICO DE ORTOPEDIA LUIZ BRAGA;251;AVENIDA REPÚBLICA DO LÍBANO;PINA;RECIFE;PE;Recife;ANGIOLOGIA / DERMATOLOGIA   / INFECTOLOGIA  / CIRURGIA GERAL  / PNEUMOLOGIA  / REUMATOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / GASTROENTEROLOGIA  / ANESTESIOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA DE CABEÇA E PESCOÇO / CIRURGIA VASCULAR;30390030;
SONIMAGEM LTDA;SONIMAGEM;689;RUA EPAMINONDAS OTONI;CENTRO;TEOFILO OTONI;MG;Teófilo Otoni;GINECOLOGIA E OBSTETRICIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ULTRA-SONOGRAFIA;35225256;
SONOCLIN COMERCIO E SERVICOS LTDA;OUVIRCLIN FONOAUDIOLOGIA;360;RUA RECIFE;CENTRO;CASCAVEL;PR;Cascavel;FONOAUDIOLOGIA;30386620;
SORRIDENTE SAUDE LTDA;SORRIDENTE;68;MARGEM RIO DO OURO;CENTRO;JACOBINA;BA;Jacobina;PSICOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / FISIOTERAPIA;;
SOS ORTO SERVICOS MEDICOS LTDA;SOS ORTO MEMORIAL;202;AVENIDA RUI BARBOSA;TORRE;JOAO PESSOA;PB;I Núcleo Regional de Saúde;ORTOPEDIA E TRAUMATOLOGIA;;
SOUZA E DANTAS LTDA;MIRE AS ESTRELAS CLINICA DE PSICOLOGIA;635;RUA BARÃO DE CAMARGOS;CENTRO;UBERLANDIA;MG;Uberlândia;PSICOLOGIA;;
SOUZA E PAWLAK LTDA;LABORCLIN;17;CASEMIRO MUSTEFAGA;;AUREA;RS;CRS 11 Erechim;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
SPINRAD SERVICOS MEDICOS LTDA;SPINRAD SERVICOS MEDICOS;1359;AVENIDA JOAQUIM NABUCO;CENTRO;MANAUS;AM;Entorno de Manaus;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;21012560;21012513
STA CASA DE MISERICORDIA E MATERNIDADE DE RONDONOPOLIS;SANTA CASA DE RONDONOPOLIS;100;RUA LUDOVICO VIEIRA DE CAMARGO;CENTRO;RONDONOPOLIS;MT;Rondonópolis;CLÍNICA MÉDICA / CIRURGIA GERAL  / ANESTESIOLOGIA  / RADIODIAGNÓSTICO / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PEDIATRIA  / ORTOPEDIA E TRAUMATOLOGIA  / PNEUMOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA;34102700;
STATUS SOLUCOES EM SAUDE LTDA;STATUS SOLUCOES EM SAUDE;210;RUA SEBASTIÃO FABIANO DIAS;BELVEDERE;BELO HORIZONTE;MG;Belo Horizonte;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA / PSICOLOGIA  / CLÍNICA MÉDICA / ENFERMAGEM;39958151;
STIMULUS ATIVIDADES DE TERAPIA OCUPACIONAL LTDA;STIMULUS INTERVENCAO PRECOCE;683;RUA PROFESSOR AGNELO BITENCOURT;CENTRO;BOA VISTA;RR;Secretaria Estadual de Saúde;FISIOTERAPIA / NUTRICAO / TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;
SUELEN DE CASSIA SILVA;SUELEN DE CASSI SILVA;566;RUA DOM JOSÉ GASPAR;CENTRO;ARAXA;MG;Uberaba;FISIOTERAPIA;;
SUPORTE NUTRICIONAL E QUIMIOTERAPIA LTDA;PRONUTRIR;1046;RUA ILDEFONSO DE HOLANDA CAVALCANTE;CAMPO DOS VELHOS;SOBRAL;CE;Sobral;ONCOLOGIA CLÍNICA / CIRURGIA ONCOLÓGICA;31115657;
SYMMETRIA CORPO E MOVIMENTO;SYMMETRIA CORPO E MOVIMENTO LTDA;85;RUA DOUTOR NELSON DE SÁ EARP;CENTRO;PETROPOLIS;RJ;Serrana;FISIOTERAPIA;;
T A SERVICO MEDICO E ODONTOLOGICO LTDA;THIAGO CAVALCANTE SERVICOS MEDICOS;1019;AVENIDA AGAMENON MAGALHÃES;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;NEUROCIRURGIA;;
T P CRUZ SERVICOS DE NUTRICAO E SAUDE LTDA;NUTRIGASTRO SERVICOS EM NUTRICAO SAUDE;32;ALAMEDA SANTA MARIA;COQUEIRO;BELEM;PA;Metropolitana;NUTRICAO;;
T&T DIAGNOSTICO POR IMAGEM LTDA;DR HUMBERTO HOLLANDA CLINICA DE;674;RUA FLORIANO PEIXOTO;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;33216144;
TAIANE CORREA FRANCO MARINHO DA SILVA FISIOTERAPIA E PILATES ME;FISIOTERAPIA E SAUDE - TAIANE FRANCO MARINHO;399;DOUTOR JOAO CANDIDO FORTES;CENTRO;JACAREZINHO;PR;Jacarezinho;FISIOTERAPIA;35251892;
TAISE DOBNER IMPERATORI;TAISE DOBNER IMPERATORI;526;BENTO GONÇALVES;CENTRO;SANTO ANGELO;RS;CRS 12 Santo Ângelo;NUTRICAO;33131144;
TALITA LUZIA MORAES DE OLIVEIRA LTDA;CLINICA DE PSICOLOGIA SER ESSENCIA;280;MINAS GERAIS;CENTRO;POCOS DE CALDAS;MG;Pouso Alegre;PSICOLOGIA;;
TAMARA NUNES SALOMAO;TAMARA NUNES SALOMAO;55;MANTIQUEIRA;CENTRO;ARACUAI;MG;Diamantina;PSICOLOGIA;;
TANIA AGUILA SILVEIRA PSICOLOGA;TANIA AGUILA SILVEIRA PSICOLOGA;1940;RUA SANTA CATARINA;JARDIM BETHÂNIA;FRANCA;SP;Franca;PSICOLOGIA;;
TANIA REGINA DA SILVA NURCHIS;TANIA REGINA DA SILVA NURCHIS;172;RUA SAO LUIZ;CENTRO;PASSOS;MG;Passos;PSICOLOGIA;;
TARCISIO CEZAR GONZAGA DO NASCIMENTO LTDA;AUDIOCLIN TERAPIAS TEA;226;FRANCISCO ROCHA PIRES;CENTRO;JACOBINA;BA;Jacobina;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA;36211735;
TATIANE GADIA CUNHA CONSULTORIA;TATIANE GADIA CONSULTORIA;375;RUA MITA;JARDIM KARAÍBA;UBERLANDIA;MG;Uberlândia;PSICOLOGIA;;
TATIANE GASPARETTO MELO;TATIANE MELO NUTRICAO FUNCIONAL;773;AVENIDA OITO;CENTRO;CHAPADAO DO SUL;MS;NCT de Paranaíba;NUTRICAO;;
TAVARES E SARMENTO DIAGNOSTICOS LABORATORIAIS LTDA;LABORATORIO SILVANO SARMENTO;209;SIQUEIRA CAMPOS;CENTRO;GLORIA DO GOITA;PE;Recife;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;35237382;
TEAR TERAPIAS INTEGRADAS LTDA.;TEAR;81;RUA DOM SEBASTIÃO LEME;GRAÇAS;RECIFE;PE;Recife;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA;;
TERAPIA KIDS LTDA;TERAPIA KIDS;700;RUA DONA ESMERALDA;VILA FÁTIMA;JATAI;GO;Sudoeste II;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;
TERAPIAS INTEGRADAS E CURSOS DE SAUDE LTDA;DESENVOLVER TERAPIAS INTEGRADAS;104;RUA CARNEIRO VILELA;ENCRUZILHADA;RECIFE;PE;Recife;FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NUTRICAO / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;30482242;
TERE LIFE EMERGENCIAS MEDICAS LTDA;TERE LIFE;94;AVENIDA PERIMETRAL FLORIANO DE GODOI;PARQUE DUQUE;DUQUE DE CAXIAS;RJ;Metropolitana I;REMOCOES;27424522;
THAINARA FERNANDA MARQUES DOS SANTOS LTDA;THAINARA MARQUES PSICOLOGA;428;RUA SENADOR AURO DE MOURA ANDRADE;IRMAN RIBEIRO;NOVA ANDRADINA;MS;NCT de Nova Andradina;PSICOLOGIA;;
THAIS ARAUJO LTDA;THAIS ARAUJO SAO JOAO DA BOA VISTA;80;RUA CONSELHEIRO ANTÔNIO PRADO;CENTRO;SAO JOAO DA BOA VISTA;SP;São João da Boa Vista;PSICOLOGIA;;
